Percentage,Num of extra sets,MSE
0.01,1,0.17788478909585753
0.01,2,0.1790687406319487
0.01,3,0.17904104382262648
0.01,5,0.1822293748025577
0.01,10,0.1838516750512641
0.05,1,0.17929741464692234
0.05,2,0.18354413267374353
0.05,3,0.183583626008693
0.05,5,0.18670091816763318
0.05,10,0.1892278384705276
0.1,1,0.1799524505463968
0.1,2,0.17969971038220242
0.1,3,0.18209300649388283
0.1,5,0.18647964982296816
0.1,10,0.1922066836090539
0.2,1,0.1804339703995734
0.2,2,0.18173558959069985
0.2,3,0.1842460111304832
0.2,5,0.18888651211602464
0.2,10,0.1947268958606082
0.3,1,0.17922358353745027
0.3,2,0.18151090021015895
0.3,3,0.18455880475838943
0.3,5,0.18988961728019413
0.3,10,0.19562691001489277
0.5,1,0.1779097329417755
0.5,2,0.18216262763103028
0.5,3,0.1848689808285045
0.5,5,0.18937582030479191
0.5,10,0.19559158513558678
