Fusion NN,MSE,MAE,R2
1-8-0.1,0.1761355069905175,0.30736009208026666,0.6133849635816588
2-8-0.1,0.36363362542411426,0.481354727383773,0.2018291499632382
4-8-0.1,0.7273472143256442,0.7420127283225952,-0.5965172188162313
6-8-0.1,0.45592259035864086,0.5439097034988065,-0.000743869803264019
1-32-0.1,0.17968570786654897,0.3093348066584296,0.6055923210620945
2-32-0.1,0.4442720450279189,0.5468979706621458,0.024828918354509844
4-32-0.1,0.3546314924222952,0.46581310797124403,0.2215887091674389
6-32-0.1,0.2621845550740348,0.37907469407996774,0.424508476228296
1-128-0.1,0.17643654222678082,0.30745797378512324,0.6127241953423657
2-128-0.1,0.3770043156752868,0.492209781918041,0.1724806671574759
4-128-0.1,0.35445914643761467,0.4667307556773352,0.22196700625405308
6-128-0.1,0.22711065555985996,0.34835662750821306,0.5014952074654904
1-512-0.1,0.17545680020390747,0.3086689449928955,0.6148747157248013
2-512-0.1,0.4114943389256534,0.5203761646877664,0.09677553635879044
4-512-0.1,0.2432009094676036,0.36077675210437776,0.46617731951199814
6-512-0.1,0.2576156978343148,0.37473469409964216,0.4345370555778285
1-8-0.2,0.1760739176699854,0.3073207432667649,0.61352015130052
2-8-0.2,0.31061885709433784,0.43262078133683474,0.31819584364544895
4-8-0.2,1.2721822416189064,1.0416186556084104,-1.79242267546168
6-8-0.2,0.27633649428008106,0.3993851416982448,0.39344516261810913
1-32-0.2,0.1757644344197204,0.3096630141902193,0.614199462815367
2-32-0.2,0.39549707368159837,0.5076686683217719,0.13188931546329064
4-32-0.2,0.24768462158104118,0.3693161269317896,0.4563356325537896
6-32-0.2,0.3890754107194836,0.4932705018296329,0.14598477811238608
1-128-0.2,0.1752471571092471,0.3081270509292932,0.6153348794593136
2-128-0.2,0.4054323860677215,0.5159768893380332,0.11008144023348043
4-128-0.2,0.38949026697828587,0.49663528563831344,0.145074174280452
6-128-0.2,0.3116215697590682,0.42513823343530177,0.31599490301731814
1-512-0.2,0.17792452993458682,0.3135772265054872,0.6094580826109082
2-512-0.2,0.3997621910302056,0.5120408877702282,0.12252744103357083
4-512-0.2,0.3017124183721599,0.4196007778239691,0.33774535521052995
6-512-0.2,0.24054738406063636,0.35860185706328135,0.472001771602211
1-8-0.3,0.18188940477776522,0.31099460522080746,0.6007552363871078
2-8-0.3,0.3710452526627507,0.487623758372085,0.185560729224319
4-8-0.3,0.49495860637475514,0.5762664525143101,-0.08642739274284628
6-8-0.3,0.18823537246209188,0.31661137129053146,0.5868259238407303
1-32-0.3,0.17571629966608793,0.3095392710744448,0.6143051179433225
2-32-0.3,0.37050676560022916,0.48695630531462514,0.18674270098483836
4-32-0.3,0.25257281542364785,0.37284044022437346,0.4456061137147458
6-32-0.3,0.3357405300055942,0.4505857694135598,0.2630541141133228
1-128-0.3,0.1767235789793847,0.31151585187738956,0.61209415358385
2-128-0.3,0.3224585776934746,0.44389987852135737,0.29220781835271414
4-128-0.3,0.2566574651873134,0.37713347807339503,0.43664036317348354
6-128-0.3,0.2511270399460004,0.37267008362764825,0.44877957117652556
1-512-0.3,0.17867693264997367,0.3086365101838312,0.6078065689088683
2-512-0.3,0.3563318332939658,0.47387150274507855,0.21785648413651482
4-512-0.3,0.29218426651477664,0.40929281513741544,0.3586595186309699
6-512-0.3,0.30076414749340724,0.4174321271811898,0.3398267968606974
