Estimators,Percent,MSE
10,0.0001,0.19330843979012907
50,0.0001,0.1803402982817386
100,0.0001,0.17926218914373773
200,0.0001,0.17754612173057963
10,0.0005,0.19118249634328383
50,0.0005,0.1748965780342179
100,0.0005,0.1733441287978105
200,0.0005,0.17218152059783504
10,0.001,0.18862574948721272
50,0.001,0.1744701248554435
100,0.001,0.17311883365619596
200,0.001,0.17231498531229197
10,0.005,0.19101754725744716
50,0.005,0.17550664260796553
100,0.005,0.17418626625615113
200,0.005,0.1736752271135385
10,0.01,0.18840811603995447
50,0.01,0.17661383153098695
100,0.01,0.17406934602118457
200,0.01,0.1729895640557317
10,0.02,0.18880317742163588
50,0.02,0.17618824399514313
100,0.02,0.1749176452441683
200,0.02,0.17473988264827686
